Номер Животного,Пол,Номер лактации,Результат отела,Легкость отела,Дата рождения,Дней в сухостое предыдущей лактации,Дней стельности при событии,Номер группы животного,Предыдущий номер группы животного,Событие,Дни доения при событии,Дата события,Примечание события
604101,1,2,MA,1,2016-04-16,61,0,3,43,ПЕРЕВОД,350,2019-12-31,F043T003
604101,1,2,MA,1,2016-04-16,61,0,43,3,ПЕРЕВОД,364,2020-01-14,F003T043
604122,1,2,MA,1,2016-04-19,49,281,6,7,ПЕРЕВОД,353,2020-01-12,F007T006
604122,1,2,MA,1,2016-04-19,49,281,45,17,ПЕРЕВОД,362,2020-01-21,F017T045
604125,1,2,FA,1,2016-04-19,53,273,18,17,ПЕРЕВОД,385,2020-01-20,F017T018
604125,1,3,FA,1,2016-04-19,57,0,21,44,ПЕРЕВОД,3,2020-02-10,F044T021
604125,1,3,FA,1,2016-04-19,57,0,44,21,ПЕРЕВОД,3,2020-02-10,F021T044
604136,1,3,MA,1,2016-04-21,64,0,21,44,ПЕРЕВОД,2,2020-01-19,F044T021
604136,1,3,MA,1,2016-04-21,64,0,2,21,ПЕРЕВОД,7,2020-01-24,F021T002
604142,1,3,FA,1,2016-04-23,63,0,21,44,ПЕРЕВОД,1,2020-01-10,F044T021
604142,1,3,FA,1,2016-04-23,63,0,2,21,ПЕРЕВОД,12,2020-01-21,F021T002
604148,1,2,FA,1,2016-04-24,61,174,7,10,ПЕРЕВОД,271,2020-01-27,F010T007
604148,1,2,FA,1,2016-04-24,61,174,5,7,ПЕРЕВОД,276,2020-02-01,F007T005
604158,1,3,FA,1,2016-04-25,59,0,4,10,ПЕРЕВОД,45,2020-01-15,F010T004
604158,1,3,FA,1,2016-04-25,59,0,3,4,ПЕРЕВОД,46,2020-01-16,F004T003
604170,1,2,FA,1,2016-04-27,61,210,7,6,ПЕРЕВОД,213,2020-01-10,F006T007
604175,1,2,MA,1,2016-04-27,62,244,3,6,ПЕРЕВОД,226,2020-01-17,F006T003
604175,1,2,MA,1,2016-04-27,62,244,43,3,ПЕРЕВОД,243,2020-02-03,F003T043
604175,1,2,MA,1,2016-04-27,62,244,3,43,ПЕРЕВОД,245,2020-02-05,F043T003
604175,1,2,MA,1,2016-04-27,62,244,43,3,ПЕРЕВОД,247,2020-02-07,F003T043
605020,1,2,FA,1,2016-05-04,50,0,3,5,ПЕРЕВОД,309,2020-01-04,F005T003
605020,1,2,FA,1,2016-05-04,50,0,43,3,ПЕРЕВОД,318,2020-01-13,F003T043
605020,1,2,FA,1,2016-05-04,50,0,3,43,ПЕРЕВОД,320,2020-01-15,F043T003
605020,1,2,FA,1,2016-05-04,50,0,43,3,ПЕРЕВОД,326,2020-01-21,F003T043
605020,1,2,FA,1,2016-05-04,50,0,3,43,ПЕРЕВОД,339,2020-02-03,F043T003
605020,1,2,FA,1,2016-05-04,50,0,43,3,ПЕРЕВОД,349,2020-02-13,F003T043
605021,1,2,MA,1,2016-05-04,56,278,18,17,ПЕРЕВОД,312,2020-02-03,F017T018
605023,1,2,FA,1,2016-05-04,53,280,18,17,ПЕРЕВОД,312,2020-01-10,F017T018
605023,1,3,FA,1,2016-05-04,64,0,21,44,ПЕРЕВОД,3,2020-02-10,F044T021
605050,1,2,FA,1,2016-05-10,61,128,6,4,ПЕРЕВОД,184,2020-01-23,F004T006
605051,1,2,MA,1,2016-05-11,62,265,3,7,ПЕРЕВОД,267,2020-02-06,F007T003
605070,1,3,FA,1,2016-05-15,61,0,21,44,ПЕРЕВОД,1,2020-01-15,F044T021
605070,1,3,FA,1,2016-05-15,61,0,2,21,ПЕРЕВОД,7,2020-01-21,F021T002
605070,1,3,FA,1,2016-05-15,61,0,44,2,ПЕРЕВОД,20,2020-02-03,F002T044
605070,1,3,FA,1,2016-05-15,61,0,21,44,ПЕРЕВОД,31,2020-02-14,F044T021
605070,1,3,FA,1,2016-05-15,61,0,1,21,ПЕРЕВОД,32,2020-02-15,F021T001
605072,1,2,FA,1,2016-05-15,52,284,18,17,ПЕРЕВОД,309,2020-02-03,F017T018
605082,1,2,FA,1,2016-05-17,54,233,6,7,ПЕРЕВОД,258,2020-02-10,F007T006
605092,1,2,MA,1,2016-05-18,64,104,12,10,ПЕРЕВОД,139,2020-01-30,F010T012
605098,1,2,FA,1,2016-05-19,64,286,6,4,ПЕРЕВОД,333,2020-01-07,F004T006
605112,1,2,MA,1,2016-05-23,56,0,3,4,ПЕРЕВОД,74,2019-12-30,F004T003
605112,1,2,MA,1,2016-05-23,56,0,43,3,ПЕРЕВОД,77,2020-01-02,F003T043
605112,1,2,MA,1,2016-05-23,56,0,3,4,ПЕРЕВОД,104,2020-01-29,F004T003
605112,1,2,MA,1,2016-05-23,56,0,43,3,ПЕРЕВОД,109,2020-02-03,F003T043
605112,1,2,MA,1,2016-05-23,56,0,3,43,ПЕРЕВОД,113,2020-02-07,F043T003
605112,1,2,MA,1,2016-05-23,56,0,43,3,ПЕРЕВОД,123,2020-02-17,F003T043
605113,1,2,FA,3,2016-05-24,58,237,8,5,ПЕРЕВОД,296,2020-01-06,F005T008
605113,1,2,FA,3,2016-05-24,58,237,5,8,ПЕРЕВОД,309,2020-01-19,F008T005
605113,1,2,FA,3,2016-05-24,58,237,3,5,ПЕРЕВОД,312,2020-01-22,F005T003
605113,1,2,FA,3,2016-05-24,58,237,43,3,ПЕРЕВОД,313,2020-01-23,F003T043
605113,1,2,FA,3,2016-05-24,58,237,3,43,ПЕРЕВОД,316,2020-01-26,F043T003
605113,1,2,FA,3,2016-05-24,58,237,43,3,ПЕРЕВОД,324,2020-02-03,F003T043
605113,1,2,FA,3,2016-05-24,58,237,3,43,ПЕРЕВОД,325,2020-02-04,F043T003
605113,1,2,FA,3,2016-05-24,58,237,43,3,ПЕРЕВОД,328,2020-02-07,F003T043
605113,1,2,FA,3,2016-05-24,58,237,3,43,ПЕРЕВОД,334,2020-02-13,F043T003
605121,1,2,FA,1,2016-05-25,57,279,7,6,ПЕРЕВОД,287,2020-01-10,F006T007
605121,1,2,FA,1,2016-05-25,57,279,6,7,ПЕРЕВОД,309,2020-02-01,F007T006
605128,1,2,FA,1,2016-05-27,57,267,18,17,ПЕРЕВОД,347,2020-01-28,F017T018
605128,1,3,MAMA,1,2016-05-27,51,0,21,44,ПЕРЕВОД,2,2020-02-17,F044T021
605132,1,2,FA,1,2016-05-28,55,112,12,10,ПЕРЕВОД,188,2020-01-14,F010T012
605132,1,2,FA,1,2016-05-28,55,112,42,1,ПЕРЕВОД,191,2020-01-17,F001T042
605142,1,2,MA,1,2016-05-30,57,216,6,10,ПЕРЕВОД,270,2020-01-07,F010T006
606003,1,2,FA,1,2016-06-02,53,91,5,10,ПЕРЕВОД,337,2020-02-04,F010T005
606008,1,2,FA,1,2016-06-02,58,69,12,8,ПЕРЕВОД,285,2020-01-09,F008T012
606017,1,2,FA,1,2016-06-03,42,277,18,17,ПЕРЕВОД,317,2020-02-17,F017T018
606023,1,2,FA,1,2016-06-04,63,280,6,7,ПЕРЕВОД,276,2020-01-12,F007T006
606025,1,2,MA,1,2016-06-04,59,278,18,17,ПЕРЕВОД,310,2020-01-28,F017T018
606052,1,2,MA,1,2016-06-08,53,277,18,17,ПЕРЕВОД,308,2020-02-03,F017T018
606058,1,2,FA,1,2016-06-08,64,167,10,4,ПЕРЕВОД,130,2019-12-31,F004T010
606068,1,2,FA,1,2016-06-10,58,273,6,7,ПЕРЕВОД,310,2020-02-10,F007T006
606109,1,2,FA,1,2016-06-19,47,272,6,7,ПЕРЕВОД,340,2020-02-01,F007T006
606112,1,2,FA,1,2016-06-19,59,202,7,6,ПЕРЕВОД,243,2020-01-10,F006T007
606112,1,2,FA,1,2016-06-19,59,202,5,7,ПЕРЕВОД,265,2020-02-01,F007T005
606112,1,2,FA,1,2016-06-19,59,202,7,5,ПЕРЕВОД,267,2020-02-03,F005T007
606120,1,2,FA,1,2016-06-20,54,83,43,3,ПЕРЕВОД,167,2019-12-30,F003T043
606120,1,2,FA,1,2016-06-20,54,83,3,5,ПЕРЕВОД,189,2020-01-21,F005T003
606120,1,2,FA,1,2016-06-20,54,83,3,5,ПЕРЕВОД,202,2020-02-03,F005T003
606120,1,2,FA,1,2016-06-20,54,83,43,3,ПЕРЕВОД,203,2020-02-04,F003T043
606122,1,2,FA,1,2016-06-20,64,284,18,17,ПЕРЕВОД,311,2020-02-03,F017T018
606130,1,2,FA,1,2016-06-22,51,167,6,7,ПЕРЕВОД,254,2020-01-27,F007T006
606149,1,2,FA,1,2016-06-25,60,270,18,17,ПЕРЕВОД,309,2020-01-28,F017T018
606151,1,2,MA,2,2016-06-25,65,76,5,10,ПЕРЕВОД,178,2020-02-04,F010T005
606160,1,2,FA,1,2016-06-26,44,273,6,7,ПЕРЕВОД,276,2020-01-09,F007T006
606160,1,2,FA,1,2016-06-26,44,273,18,17,ПЕРЕВОД,315,2020-02-17,F017T018
606172,1,2,FA,1,2016-06-27,67,0,21,44,ПЕРЕВОД,0,2020-01-20,F044T021
606172,1,2,FA,1,2016-06-27,67,0,2,21,ПЕРЕВОД,6,2020-01-26,F021T002
607003,1,2,MA,1,2016-07-01,67,0,5,10,ПЕРЕВОД,239,2020-02-04,F010T005
607011,1,2,FA,1,2016-07-02,59,282,6,10,ПЕРЕВОД,260,2020-01-08,F010T006
607027,1,2,FA,1,2016-07-06,53,272,7,10,ПЕРЕВОД,240,2020-01-09,F010T007
607027,1,2,FA,1,2016-07-06,53,272,6,7,ПЕРЕВОД,272,2020-02-10,F007T006
607032,1,2,FA,1,2016-07-07,53,209,3,43,ПЕРЕВОД,219,2020-01-15,F043T003
607032,1,2,FA,1,2016-07-07,53,209,43,3,ПЕРЕВОД,238,2020-02-03,F003T043
607036,1,2,FA,1,2016-07-08,55,277,43,3,ПЕРЕВОД,279,2019-12-31,F003T043
607036,1,2,FA,1,2016-07-08,55,277,18,17,ПЕРЕВОД,313,2020-02-03,F017T018
607044,1,2,FA,1,2016-07-09,55,251,3,10,ПЕРЕВОД,261,2020-02-14,F010T003
607055,1,2,FA,1,2016-07-10,58,139,6,10,ПЕРЕВОД,151,2020-01-07,F010T006
607055,1,2,FA,1,2016-07-10,58,139,7,6,ПЕРЕВОД,154,2020-01-10,F006T007
607056,1,2,MA,1,2016-07-11,63,237,7,10,ПЕРЕВОД,228,2020-01-27,F010T007
607058,1,2,MA,1,2016-07-11,61,111,6,4,ПЕРЕВОД,247,2020-01-23,F004T006
607064,1,2,MA,1,2016-07-12,61,189,12,8,ПЕРЕВОД,196,2020-01-14,F008T012
607067,1,2,MA,1,2016-07-13,58,195,7,10,ПЕРЕВОД,184,2020-01-27,F010T007
607086,1,2,MA,1,2016-07-17,56,202,3,10,ПЕРЕВОД,207,2020-02-10,F010T003
607092,1,1,MA,1,2016-07-18,0,284,18,17,ПЕРЕВОД,462,2019-12-30,F017T018
607092,1,2,FA,1,2016-07-18,61,0,21,44,ПЕРЕВОД,1,2020-02-05,F044T021
607092,1,2,FA,1,2016-07-18,61,0,2,21,ПЕРЕВОД,7,2020-02-11,F021T002
607106,1,2,FA,1,2016-07-21,62,265,7,10,ПЕРЕВОД,257,2020-01-27,F010T007
607112,1,2,FA,1,2016-07-21,62,0,3,4,ПЕРЕВОД,157,2020-01-25,F004T003
607112,1,2,FA,1,2016-07-21,62,0,43,3,ПЕРЕВОД,166,2020-02-03,F003T043
607112,1,2,FA,1,2016-07-21,62,0,12,43,ПЕРЕВОД,174,2020-02-11,F043T012
607128,1,2,MA,1,2016-07-24,64,202,7,4,ПЕРЕВОД,192,2020-01-27,F004T007
607132,1,2,FA,1,2016-07-24,58,0,6,4,ПЕРЕВОД,143,2020-01-14,F004T006
607133,1,2,FA,1,2016-07-24,65,279,7,9,ПЕРЕВОД,255,2020-01-15,F009T007
607133,1,2,FA,1,2016-07-24,65,279,6,7,ПЕРЕВОД,272,2020-02-01,F007T006
607140,1,2,FA,1,2016-07-26,59,60,3,4,ПЕРЕВОД,137,2020-01-02,F004T003
608014,1,2,FA,1,2016-08-03,51,209,3,6,ПЕРЕВОД,213,2020-02-11,F006T003
608014,1,2,FA,1,2016-08-03,51,209,43,3,ПЕРЕВОД,215,2020-02-13,F003T043
608015,1,2,MD,1,2016-08-03,60,226,43,3,ПЕРЕВОД,253,2020-01-08,F003T043
608015,1,2,MD,1,2016-08-03,60,226,45,17,ПЕРЕВОД,276,2020-01-31,F017T045
608022,1,2,MA,1,2016-08-04,59,188,6,4,ПЕРЕВОД,179,2020-01-23,F004T006
608026,1,2,FA,1,2016-08-04,61,216,6,4,ПЕРЕВОД,189,2020-01-14,F004T006
608050,1,2,MA,1,2016-08-08,46,230,3,6,ПЕРЕВОД,252,2020-01-27,F006T003
608050,1,2,MA,1,2016-08-08,46,230,43,3,ПЕРЕВОД,259,2020-02-03,F003T043
608076,1,2,FA,1,2016-08-12,66,174,7,4,ПЕРЕВОД,204,2020-01-27,F004T007
608077,1,2,MA,1,2016-08-12,61,209,6,4,ПЕРЕВОД,226,2020-01-23,F004T006
608077,1,2,MA,1,2016-08-12,61,209,42,6,ПЕРЕВОД,239,2020-02-05,F006T042
608095,1,2,FA,1,2016-08-15,58,245,7,10,ПЕРЕВОД,274,2020-01-27,F010T007
608095,1,2,FA,1,2016-08-15,58,245,12,7,ПЕРЕВОД,275,2020-01-28,F007T012
608096,1,1,MAMA,1,2016-08-15,0,274,18,17,ПЕРЕВОД,476,2020-02-03,F017T018
608103,1,2,FA,1,2016-08-16,55,261,7,4,ПЕРЕВОД,259,2020-01-09,F004T007
608107,1,2,MD,3,2016-08-17,44,118,6,4,ПЕРЕВОД,227,2020-01-14,F004T006
608114,1,2,FA,1,2016-08-20,58,118,12,4,ПЕРЕВОД,143,2020-01-28,F004T012
608118,1,2,FA,1,2016-08-20,62,195,43,3,ПЕРЕВОД,208,2020-02-17,F003T043
608118,1,2,FA,1,2016-08-20,62,195,3,10,ПЕРЕВОД,208,2020-02-17,F010T003
608130,1,2,FA,1,2016-08-22,65,69,43,3,ПЕРЕВОД,66,2019-12-31,F003T043
608130,1,2,FA,1,2016-08-22,65,69,3,43,ПЕРЕВОД,69,2020-01-03,F043T003
608130,1,2,FA,1,2016-08-22,65,69,43,3,ПЕРЕВОД,82,2020-01-16,F003T043
608130,1,2,FA,1,2016-08-22,65,69,3,43,ПЕРЕВОД,87,2020-01-21,F043T003
608130,1,2,FA,1,2016-08-22,65,69,43,3,ПЕРЕВОД,100,2020-02-03,F003T043
608130,1,2,FA,1,2016-08-22,65,69,3,43,ПЕРЕВОД,111,2020-02-14,F043T003
608138,1,2,MAMA,1,2016-08-23,53,182,6,10,ПЕРЕВОД,183,2020-01-07,F010T006
608138,1,2,MAMA,1,2016-08-23,53,182,3,6,ПЕРЕВОД,206,2020-01-30,F006T003
608138,1,2,MAMA,1,2016-08-23,53,182,43,3,ПЕРЕВОД,214,2020-02-07,F003T043
608138,1,2,MAMA,1,2016-08-23,53,182,3,43,ПЕРЕВОД,220,2020-02-13,F043T003
608138,1,2,MAMA,1,2016-08-23,53,182,43,3,ПЕРЕВОД,224,2020-02-17,F003T043
608144,1,2,MA,1,2016-08-23,59,258,7,10,ПЕРЕВОД,228,2020-01-09,F010T007
608146,1,2,FA,1,2016-08-24,58,0,3,10,ПЕРЕВОД,54,2020-01-23,F010T003
608146,1,2,FA,1,2016-08-24,58,0,43,3,ПЕРЕВОД,79,2020-02-17,F003T043
608165,1,2,FA,3,2016-08-28,57,111,12,5,ПЕРЕВОД,221,2020-01-14,F005T012
608165,1,2,FA,3,2016-08-28,57,111,7,12,ПЕРЕВОД,236,2020-01-29,F012T007
608165,1,2,FA,3,2016-08-28,57,111,12,7,ПЕРЕВОД,241,2020-02-03,F007T012
608175,1,2,FA,1,2016-08-30,63,223,7,9,ПЕРЕВОД,202,2020-01-15,F009T007
608184,1,2,MA,2,2016-08-31,58,181,7,10,ПЕРЕВОД,226,2020-01-27,F010T007
609004,1,2,MA,1,2016-09-01,60,174,7,4,ПЕРЕВОД,161,2020-01-27,F004T007
609017,1,2,MA,1,2016-09-02,64,146,7,10,ПЕРЕВОД,137,2020-01-28,F010T007
609021,1,1,MA,1,2016-09-03,0,277,18,17,ПЕРЕВОД,536,2019-12-30,F017T018
609021,1,2,MA,1,2016-09-03,50,0,21,44,ПЕРЕВОД,1,2020-01-25,F044T021
609021,1,2,MA,1,2016-09-03,50,0,2,21,ПЕРЕВОД,5,2020-01-29,F021T002
609021,1,2,MA,1,2016-09-03,50,0,3,10,ПЕРЕВОД,22,2020-02-15,F010T003
609029,1,2,FA,1,2016-09-04,58,0,43,3,ПЕРЕВОД,160,2020-01-03,F003T043
609029,1,2,FA,1,2016-09-04,58,0,3,43,ПЕРЕВОД,163,2020-01-06,F043T003
609031,1,1,MA,1,2016-09-04,0,274,18,17,ПЕРЕВОД,528,2019-12-30,F017T018
609031,1,2,MA,1,2016-09-04,47,0,21,44,ПЕРЕВОД,0,2020-01-21,F044T021
609031,1,2,MA,1,2016-09-04,47,0,2,21,ПЕРЕВОД,8,2020-01-29,F021T002
609034,1,2,FA,1,2016-09-05,65,0,21,44,ПЕРЕВОД,2,2020-01-06,F044T021
609034,1,2,FA,1,2016-09-05,65,0,2,21,ПЕРЕВОД,9,2020-01-13,F021T002
609042,1,2,MA,1,2016-09-06,65,139,6,10,ПЕРЕВОД,115,2020-01-14,F010T006
609044,1,2,FA,3,2016-09-06,57,149,43,3,ПЕРЕВОД,200,2020-01-14,F003T043
609044,1,2,FA,3,2016-09-06,57,149,3,43,ПЕРЕВОД,205,2020-01-19,F043T003
609044,1,2,FA,3,2016-09-06,57,149,43,3,ПЕРЕВОД,211,2020-01-25,F003T043
609059,1,2,FA,1,2016-09-10,59,195,7,9,ПЕРЕВОД,200,2020-02-13,F009T007
609068,1,2,MA,1,2016-09-12,68,0,2,21,ПЕРЕВОД,7,2019-12-31,F021T002
609073,1,2,FA,1,2016-09-13,58,76,12,4,ПЕРЕВОД,87,2020-01-07,F004T012
609073,1,2,FA,1,2016-09-13,58,76,6,12,ПЕРЕВОД,90,2020-01-10,F012T006
609073,1,2,FA,1,2016-09-13,58,76,3,6,ПЕРЕВОД,91,2020-01-11,F006T003
609075,1,1,FA,3,2016-09-13,0,275,18,17,ПЕРЕВОД,607,2020-02-17,F017T018
609108,1,2,FA,1,2016-09-18,28,0,21,44,ПЕРЕВОД,1,2020-01-17,F044T021
609108,1,2,FA,1,2016-09-18,28,0,2,21,ПЕРЕВОД,8,2020-01-24,F021T002
609116,1,2,FA,1,2016-09-20,60,154,43,3,ПЕРЕВОД,148,2019-12-31,F003T043
609116,1,2,FA,1,2016-09-20,60,154,3,43,ПЕРЕВОД,151,2020-01-03,F043T003
609116,1,2,FA,1,2016-09-20,60,154,43,3,ПЕРЕВОД,156,2020-01-08,F003T043
609116,1,2,FA,1,2016-09-20,60,154,3,43,ПЕРЕВОД,163,2020-01-15,F043T003
609116,1,2,FA,1,2016-09-20,60,154,43,3,ПЕРЕВОД,169,2020-01-21,F003T043
609116,1,2,FA,1,2016-09-20,60,154,3,43,ПЕРЕВОД,182,2020-02-03,F043T003
609116,1,2,FA,1,2016-09-20,60,154,43,3,ПЕРЕВОД,186,2020-02-07,F003T043
609127,1,2,FD,3,2016-09-23,63,217,6,4,ПЕРЕВОД,194,2020-01-14,F004T006
609149,1,1,MD,1,2016-09-25,0,278,18,17,ПЕРЕВОД,543,2020-02-03,F017T018
609162,1,2,MA,2,2016-09-27,65,97,3,4,ПЕРЕВОД,111,2020-01-17,F004T003
609162,1,2,MA,2,2016-09-27,65,97,43,3,ПЕРЕВОД,117,2020-01-23,F003T043
609162,1,2,MA,2,2016-09-27,65,97,3,10,ПЕРЕВОД,135,2020-02-10,F010T003
609162,1,2,MA,2,2016-09-27,65,97,43,3,ПЕРЕВОД,138,2020-02-13,F003T043
609168,1,2,FA,1,2016-09-29,58,83,3,43,ПЕРЕВОД,80,2019-12-31,F043T003
609168,1,2,FA,1,2016-09-29,58,83,43,3,ПЕРЕВОД,94,2020-01-14,F003T043
610008,1,2,FA,1,2016-10-01,59,190,12,6,ПЕРЕВОД,186,2020-01-02,F006T012
610008,1,2,FA,1,2016-10-01,59,190,6,12,ПЕРЕВОД,186,2020-01-02,F012T006
610008,1,2,FA,1,2016-10-01,59,190,12,6,ПЕРЕВОД,191,2020-01-07,F006T012
610008,1,2,FA,1,2016-10-01,59,190,7,6,ПЕРЕВОД,225,2020-02-10,F006T007
610009,1,2,FA,1,2016-10-01,64,0,3,10,ПЕРЕВОД,49,2020-02-07,F010T003
610009,1,2,FA,1,2016-10-01,64,0,43,3,ПЕРЕВОД,59,2020-02-17,F003T043
610017,1,1,MA,3,2016-10-03,0,139,3,5,ПЕРЕВОД,384,2020-01-27,F005T003
610017,1,1,MA,3,2016-10-03,0,139,43,3,ПЕРЕВОД,391,2020-02-03,F003T043
610017,1,1,MA,3,2016-10-03,0,139,3,43,ПЕРЕВОД,393,2020-02-05,F043T003
610033,1,2,MA,1,2016-10-06,60,0,5,10,ПЕРЕВОД,204,2020-02-04,F010T005
610053,1,2,FA,1,2016-10-11,65,111,9,10,ПЕРЕВОД,149,2020-02-10,F010T009
610056,1,2,FA,1,2016-10-12,55,202,6,10,ПЕРЕВОД,174,2020-01-07,F010T006
610068,1,2,MA,1,2016-10-14,66,84,12,4,ПЕРЕВОД,135,2020-01-28,F004T012
610071,1,2,MA,1,2016-10-14,57,59,4,10,ПЕРЕВОД,92,2020-01-04,F010T004
610072,1,2,FA,1,2016-10-14,58,175,3,4,ПЕРЕВОД,182,2020-01-11,F004T003
610072,1,2,FA,1,2016-10-14,58,175,43,3,ПЕРЕВОД,186,2020-01-15,F003T043
610072,1,2,FA,1,2016-10-14,58,175,3,43,ПЕРЕВОД,209,2020-02-07,F043T003
610073,1,2,FA,1,2016-10-14,62,0,5,10,ПЕРЕВОД,209,2020-02-04,F010T005
610073,1,2,FA,1,2016-10-14,62,0,12,5,ПЕРЕВОД,216,2020-02-11,F005T012
610073,1,2,FA,1,2016-10-14,62,0,41,12,ПЕРЕВОД,222,2020-02-17,F012T041
610075,1,2,FA,1,2016-10-15,57,0,43,3,ПЕРЕВОД,32,2019-12-31,F003T043
610075,1,2,FA,1,2016-10-15,57,0,3,43,ПЕРЕВОД,38,2020-01-06,F043T003
610077,1,2,FA,1,2016-10-15,64,76,3,10,ПЕРЕВОД,83,2020-02-14,F010T003
610080,1,2,MD,3,2016-10-16,63,76,3,10,ПЕРЕВОД,88,2020-01-06,F010T003
610096,1,1,FA,2,2016-10-18,0,267,6,9,ПЕРЕВОД,493,2020-01-09,F009T006
610096,1,1,FA,2,2016-10-18,0,267,18,17,ПЕРЕВОД,532,2020-02-17,F017T018
610105,1,2,MA,1,2016-10-21,47,223,6,4,ПЕРЕВОД,189,2020-01-07,F004T006
610134,1,2,FA,1,2016-10-26,64,0,21,44,ПЕРЕВОД,1,2020-01-11,F044T021
610134,1,2,FA,1,2016-10-26,64,0,2,21,ПЕРЕВОД,6,2020-01-16,F021T002
610162,1,1,FA,1,2016-10-31,0,288,18,17,ПЕРЕВОД,455,2020-01-10,F017T018
610162,1,2,FA,1,2016-10-31,73,0,21,44,ПЕРЕВОД,1,2020-02-17,F044T021
611004,1,2,MA,1,2016-11-01,58,0,42,2,ПЕРЕВОД,21,2020-01-04,F002T042
611006,1,2,MA,1,2016-11-02,64,0,5,10,ПЕРЕВОД,133,2020-02-14,F010T005
611038,1,2,FA,1,2016-11-08,62,97,3,4,ПЕРЕВОД,66,2020-01-04,F004T003
611038,1,2,FA,1,2016-11-08,62,97,43,3,ПЕРЕВОД,70,2020-01-08,F003T043
611038,1,2,FA,1,2016-11-08,62,97,3,4,ПЕРЕВОД,79,2020-01-17,F004T003
611038,1,2,FA,1,2016-11-08,62,97,43,3,ПЕРЕВОД,104,2020-02-11,F003T043
611052,1,1,MA,3,2016-11-11,0,266,7,5,ПЕРЕВОД,438,2020-02-03,F005T007
611081,1,1,MA,1,2016-11-14,0,0,3,5,ПЕРЕВОД,448,2020-01-21,F005T003
611081,1,1,MA,1,2016-11-14,0,0,43,3,ПЕРЕВОД,449,2020-01-22,F003T043
611085,1,1,MA,1,2016-11-15,0,276,18,17,ПЕРЕВОД,456,2020-02-03,F017T018
611096,1,1,MA,1,2016-11-17,0,273,12,9,ПЕРЕВОД,451,2020-01-07,F009T012
611096,1,1,MA,1,2016-11-17,0,273,18,17,ПЕРЕВОД,492,2020-02-17,F017T018
611115,1,2,FA,1,2016-11-20,63,104,8,10,ПЕРЕВОД,130,2020-01-27,F010T008
611122,1,2,MA,1,2016-11-21,44,90,4,10,ПЕРЕВОД,78,2020-01-26,F010T004
611143,1,1,FA,1,2016-11-24,0,276,18,17,ПЕРЕВОД,378,2020-02-03,F017T018
611146,1,2,FA,1,2016-11-25,64,104,10,4,ПЕРЕВОД,179,2020-02-10,F004T010
611146,1,2,FA,1,2016-11-25,64,104,4,10,ПЕРЕВОД,180,2020-02-11,F010T004
611151,1,1,FA,1,2016-11-25,0,280,18,17,ПЕРЕВОД,448,2020-01-28,F017T018
611167,1,2,MA,1,2016-11-27,63,0,3,43,ПЕРЕВОД,54,2019-12-31,F043T003
611167,1,2,MA,1,2016-11-27,63,0,43,3,ПЕРЕВОД,68,2020-01-14,F003T043
611167,1,2,MA,1,2016-11-27,63,0,3,43,ПЕРЕВОД,98,2020-02-13,F043T003
611189,1,2,FA,1,2016-11-30,53,69,3,10,ПЕРЕВОД,70,2020-02-10,F010T003
612033,1,1,FA,3,2016-12-06,0,280,18,17,ПЕРЕВОД,462,2020-01-28,F017T018
612039,1,2,FA,1,2016-12-07,59,146,6,4,ПЕРЕВОД,121,2020-01-14,F004T006
612054,1,1,FA,3,2016-12-10,0,0,43,3,ПЕРЕВОД,421,2020-01-14,F003T043
612054,1,1,FA,3,2016-12-10,0,0,3,5,ПЕРЕВОД,421,2020-01-14,F005T003
612055,1,1,FA,1,2016-12-10,0,223,12,7,ПЕРЕВОД,373,2020-01-22,F007T012
612057,1,1,MA,1,2016-12-11,0,275,18,17,ПЕРЕВОД,311,2020-01-10,F017T018
612057,1,2,FA,1,2016-12-11,59,0,21,44,ПЕРЕВОД,1,2020-02-03,F044T021
612057,1,2,FA,1,2016-12-11,59,0,2,21,ПЕРЕВОД,9,2020-02-11,F021T002
612062,1,2,MA,1,2016-12-12,59,0,21,44,ПЕРЕВОД,1,2020-01-13,F044T021
612062,1,2,MA,1,2016-12-12,59,0,2,21,ПЕРЕВОД,9,2020-01-21,F021T002
612062,1,2,MA,1,2016-12-12,59,0,44,2,ПЕРЕВОД,15,2020-01-27,F002T044
612062,1,2,MA,1,2016-12-12,59,0,2,21,ПЕРЕВОД,24,2020-02-05,F021T002
612066,1,2,MA,3,2016-12-12,69,46,3,10,ПЕРЕВОД,117,2020-02-17,F010T003
612084,1,2,FA,1,2016-12-14,47,0,43,3,ПЕРЕВОД,58,2020-01-02,F003T043
612084,1,2,FA,1,2016-12-14,47,0,3,43,ПЕРЕВОД,62,2020-01-06,F043T003
612084,1,2,FA,1,2016-12-14,47,0,43,3,ПЕРЕВОД,72,2020-01-16,F003T043
612084,1,2,FA,1,2016-12-14,47,0,3,43,ПЕРЕВОД,77,2020-01-21,F043T003
612084,1,2,FA,1,2016-12-14,47,0,43,3,ПЕРЕВОД,90,2020-02-03,F003T043
612089,1,2,MA,1,2016-12-15,66,0,21,44,ПЕРЕВОД,1,2020-01-13,F044T021
612089,1,2,MA,1,2016-12-15,66,0,2,21,ПЕРЕВОД,9,2020-01-21,F021T002
612089,1,2,MA,1,2016-12-15,66,0,3,4,ПЕРЕВОД,34,2020-02-15,F004T003
